1	3 
2	1 
3	1 
4	2 
5	2 
6	5 
7	1 
8	1 
9	1 
10	5 
11	4 
12	1 
13	4 
14	1 
15	2 3 
16	1 
17	3 
18	1 
19	5 
20	5 
21	5 
22	5 
23	5 
24	1 
25	1 5 
26	1 
27	5 
28	5 
29	4 
30	3 
31	1 3 
32	5 
33	5 
34	4 
35	2 
36	1 
37	5 
38	1 
39	4 
40	5 
41	2 
42	4 
43	4 
44	5 
45	2 
46	4 
47	2 
48	1 4 
49	3 
50	5 
51	5 
52	3 
53	1 
54	5 
55	1 
56	1 
57	2 
58	1 2 
59	1 
60	4 
61	4 
62	1 
63	3 
64	2 
65	2 
66	4 
67	1 
68	2 
69	3 
70	1 
71	4 
72	2 5 
73	2 
74	2 3 
75	3 
76	1 
77	2 5 
78	5 
79	2 
80	2 
81	1 
82	2 
83	2 
84	1 3 
85	4 
86	3 
87	2 
88	4 
89	1 
90	1 
91	4 
92	3 
93	2 
94	3 
95	5 
96	3 
97	1 
98	5 
99	2 
100	5 
101	1 
102	2 
103	2 
104	4 
105	1 
106	2 
107	5 
108	3 
109	1 
110	5 
111	4 
112	1 
113	1 
114	5 
115	1 
116	4 5 
117	1 
118	3 
119	4 
120	5 
121	4 
122	1 
123	1 
124	1 
125	1 
126	1 2 
127	3 5 
128	4 
129	2 3 
130	1 
131	1 5 
132	1 3 
133	1 
134	2 
135	2 
136	2 
137	1 
138	1 
139	2 
140	5 
141	1 
142	2 
143	1 
144	5 
145	2 
146	2 4 
147	1 
148	5 
149	1 
150	1 
151	2 
152	2 
153	1 2 
154	5 
155	1 
156	1 
157	2 
158	5 
159	1 
160	2 
161	1 
162	2 
163	2 
164	5 
165	1 
166	1 
167	1 
168	2 
169	1 
170	1 
171	1 5 
172	2 3 
173	1 
174	3 5 
175	1 
176	1 
177	1 
178	1 
179	1 
180	1 
