1	5 
2	4 
3	8 
4	8 
5	6 
6	4 
7	9 
8	2 
9	1 
10	9 
11	3 
12	8 
13	6 
14	2 
15	3 
16	1 6 
17	7 
18	3 
19	8 
20	4 
21	1 
22	5 
23	5 
24	3 
25	2 
26	6 
27	6 
28	2 8 
29	8 
30	6 
31	9 
32	1 10 
33	1 
34	7 
35	6 
36	5 
37	9 
38	6 
39	5 
40	8 
41	4 
42	8 
43	9 
44	7 
45	9 
46	1 
47	2 
48	7 
49	7 
50	9 
51	3 
52	3 
53	5 
54	8 
55	10 
56	5 
57	5 
58	8 
59	2 
60	4 
61	2 
62	9 
63	7 
64	1 9 
65	10 
66	9 
67	6 
68	2 
69	7 
70	9 
71	4 
72	10 
73	1 
74	5 
75	3 
76	9 
77	6 
78	2 
79	7 
80	9 
81	2 
82	4 
83	2 
84	9 
85	4 
86	10 
87	7 
88	6 10 
89	6 
90	4 
91	6 
92	3 
93	5 
94	3 
95	7 
96	10 
97	3 
98	8 
99	3 
100	1 
101	3 
102	3 
103	4 
104	4 
105	10 
106	8 
107	4 
108	4 
109	3 8 
110	1 9 
111	1 
112	1 
113	1 
114	1 
115	10 
116	1 
117	10 
118	1 
119	4 
120	10 
121	1 
122	2 10 
123	4 
124	10 
125	1 
126	10 
127	1 
128	1 
129	10 
130	10 
131	1 
132	1 
133	1 5 
134	4 5 
135	1 4 
136	10 
137	10 
138	10 
139	10 
140	10 
141	10 
142	10 
143	4 8 
144	10 
145	1 
146	2 8 
147	1 
148	10 
149	10 
150	1 3 
151	1 
152	1 7 
153	1 
154	1 
155	1 
156	1 
157	1 7 
158	1 
159	1 7 
160	1 
161	1 
162	1 
163	1 
164	1 
165	1 
166	1 
167	1 
168	1 
169	1 
170	1 10 
171	1 
172	1 5 
173	1 
174	1 
175	1 
176	1 
177	1 
178	1 
179	1 
180	1 
