1	1 4 5 
2	3 
3	1 
4	5 
5	3 
6	2 
7	4 
8	3 
9	1 
10	1 
11	2 
12	5 
13	1 2 4 
14	1 
15	5 
16	4 
17	1 
18	1 2 5 
19	4 
20	4 
21	1 
22	5 
23	1 
24	2 
25	4 
26	3 
27	4 
28	1 
29	4 
30	1 3 4 
31	4 
32	3 
33	1 2 5 
34	4 
35	5 
36	1 
37	1 
38	4 
39	1 
40	3 
41	1 3 4 
42	4 
43	4 
44	1 
45	1 4 5 
46	1 4 5 
47	4 
48	4 
49	1 
50	1 
51	5 
52	2 
53	1 
54	1 
55	4 
56	1 
57	5 
58	5 
59	1 
60	4 
61	1 
62	5 
63	1 
64	4 
65	3 
66	1 
67	3 
68	1 
69	2 
70	1 2 5 
71	1 
72	1 
73	2 
74	3 
75	1 
76	4 
77	4 
78	4 
79	1 
80	1 
81	4 
82	2 
83	4 
84	5 
85	1 
86	3 
87	2 
88	4 
89	1 
90	4 
91	4 
92	1 
93	5 
94	1 
95	4 
96	1 
97	1 
98	5 
99	1 
100	1 
101	5 
102	5 
103	1 
104	3 
105	4 
106	4 
107	5 
108	3 
109	3 
110	1 
111	5 
112	5 
113	1 2 5 
114	5 
115	4 
116	4 
117	1 4 5 
118	5 
119	5 
120	1 
121	4 
122	1 
123	5 
124	1 
125	1 2 4 
126	1 
127	5 
128	5 
129	4 
130	1 
131	1 
132	4 
133	1 
134	1 
135	1 
136	5 
137	5 
138	4 
139	4 
140	4 
141	1 3 4 
142	4 
143	4 
144	2 3 4 
145	4 
146	1 2 5 
147	4 
148	1 
149	1 
150	4 
151	1 4 5 
152	1 
153	1 3 4 
154	1 
155	1 3 4 
156	5 
157	5 
158	5 
159	4 
160	4 
161	4 
162	5 
163	1 
164	4 
165	1 
166	1 
167	1 4 5 
168	1 
169	1 
170	1 
171	1 
172	4 
173	4 
174	2 4 5 
175	4 
176	1 
177	3 4 5 
178	1 
179	1 
180	1 
