1	8 
2	4 
3	7 
4	1 
5	3 
6	6 
7	2 
8	3 
9	2 6 
10	8 
11	2 
12	2 
13	1 
14	1 2 
15	8 
16	4 
17	4 
18	1 
19	4 
20	2 
21	3 
22	1 
23	5 
24	1 
25	3 
26	6 
27	1 6 
28	5 
29	5 
30	7 
31	8 
32	2 
33	1 
34	4 7 
35	1 
36	7 
37	8 
38	4 
39	1 
40	6 
41	2 
42	4 
43	6 
44	5 
45	1 2 
46	1 
47	3 
48	5 
49	7 
50	2 7 
51	1 
52	8 
53	2 
54	2 
55	2 
56	8 
57	1 3 
58	1 
59	6 
60	4 
61	3 
62	4 
63	6 
64	3 
65	2 7 
66	2 
67	2 5 
68	2 
69	5 
70	1 5 
71	7 
72	3 
73	3 
74	8 
75	6 
76	1 
77	7 
78	4 
79	8 
80	6 
81	1 
82	6 
83	5 
84	8 
85	6 
86	7 
87	4 
88	1 
89	5 
90	7 
91	6 
92	4 
93	2 7 
94	5 
95	2 
96	4 
97	5 
98	7 
99	1 
100	8 
101	1 
102	5 
103	6 
104	1 
105	7 
106	1 
107	6 
108	5 6 
109	1 
110	6 
111	2 
112	6 
113	3 8 
114	3 5 
115	1 2 
116	1 
117	1 
118	7 
119	5 7 
120	2 
121	6 7 
122	6 
123	6 
124	2 
125	1 
126	1 2 
127	1 
128	2 
129	2 
130	6 
131	1 4 
132	1 
133	1 
134	1 
135	2 
136	2 
137	6 
138	1 
139	1 
140	6 
141	6 
142	1 
143	2 
144	2 8 
145	2 
146	1 7 
147	2 
148	2 
149	1 
150	1 
151	2 
152	2 
153	2 
154	2 
155	1 
156	2 
157	1 
158	2 
159	1 
160	1 2 
161	1 
162	2 
163	1 
164	2 
165	1 
166	1 
167	1 7 
168	1 
169	1 
170	1 
171	1 8 
172	1 2 
173	1 
174	1 
175	1 
176	1 
177	1 
178	1 
179	1 
180	1 
