1	3 
2	2 
3	1 
4	1 
5	7 
6	1 
7	6 
8	1 
9	7 
10	5 
11	1 4 9 
12	3 
13	5 
14	8 
15	9 
16	9 
17	2 
18	5 
19	2 
20	6 
21	9 
22	1 
23	7 
24	9 
25	5 
26	1 
27	1 
28	1 
29	10 
30	9 
31	2 4 5 
32	10 
33	3 
34	4 
35	8 
36	9 
37	9 
38	2 
39	3 
40	8 
41	2 
42	3 
43	8 
44	4 
45	1 
46	1 
47	5 
48	6 
49	1 
50	8 
51	1 
52	4 
53	10 
54	4 
55	10 
56	7 
57	6 
58	9 
59	4 
60	1 
61	6 
62	7 
63	8 
64	4 6 10 
65	8 
66	1 
67	7 
68	5 
69	4 
70	7 
71	4 
72	7 
73	5 
74	1 
75	4 
76	6 
77	2 
78	4 
79	10 
80	1 
81	5 
82	10 
83	5 
84	1 
85	3 
86	4 
87	7 
88	4 
89	7 
90	3 
91	2 
92	2 
93	5 
94	4 
95	5 
96	8 
97	1 
98	5 
99	8 
100	3 
101	6 
102	7 
103	3 
104	1 
105	1 
106	4 6 8 
107	6 
108	5 
109	3 
110	9 
111	9 
112	4 
113	6 
114	3 
115	9 
116	8 
117	3 
118	9 
119	1 
120	9 
121	8 
122	3 
123	1 4 10 
124	8 
125	4 
126	1 
127	3 
128	7 
129	7 
130	6 7 8 
131	4 
132	8 
133	1 
134	4 
135	4 
136	8 
137	1 
138	3 
139	3 
140	1 
141	3 8 9 
142	2 5 10 
143	4 
144	3 
145	1 
146	1 
147	1 
148	4 
149	1 
150	1 2 7 
151	1 
152	1 
153	2 8 10 
154	1 
155	1 
156	1 
157	1 
158	1 
159	1 
160	6 7 8 
161	1 
162	1 
163	1 
164	1 
165	1 
166	1 
167	1 3 9 
168	1 3 7 
169	1 
170	1 
171	1 2 3 
172	3 4 8 
173	6 8 10 
174	1 3 10 
175	1 
176	1 
177	1 
178	3 4 7 
179	1 
180	1 
